"","non-missing","missing","missing percent","unique","mean","min","p1","p5","p10","p25","p50","p75","p90","p95","p99","max"
"RefNum",924,0,0,924,10024019.88,10023467,10023477.23,10023529.15,10023581.3,10023740.75,10024014.5,10024293.25,10024467.7,10024531.25,10024579.77,10024589
"age",924,0,0,40,42.55,22,25.23,29,31,35,42,50,56,58,60,61
"balance",924,0,0,541,615.25,0,0,0,1,56.75,209,505.25,1235.4,2123.85,6830.3,58544
"duration",924,0,0,434,268.86,2,21.23,55,82,128,200,311.25,506.4,716.55,1486.25,2177
"deposit",924,0,0,752,94.11,0,0,0,0,12.55,52.08,112.36,211.67,295.89,762.64,2458.72
"lead",924,0,0,2,0.69,0,0,0,0,0,1,1,1,1,1,1
"qualified",924,0,0,2,0.61,0,0,0,0,0,1,1,1,1,1,1
"contacted",924,0,0,2,0.48,0,0,0,0,0,0,1,1,1,1,1
"won",924,0,0,2,0.44,0,0,0,0,0,0,1,1,1,1,1
"loanvalue",924,0,0,62,5769.23,0,2101.38,2127,2298,3237,6165.56,7632,9753,9765,12353,12353
